Informe de términos de búsqueda
Todo el período
Término de búsqueda,Tipo de concordancia,Agregadas/excluidas,Campaña,Grupo de anuncios,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,Tipo de campaña,Porcentaje de conv.,Conversiones,Costo/conv.
qué es bueno para conciliar el sueño,Concordancia exacta (variante cercana),Ninguna,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,0,3,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
cosas que te ayuden a dormir,Concordancia exacta (variante cercana),Ninguna,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,0,2,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
insomnio crónico,Concordancia de frase (variante cercana),Ninguna,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,0,3,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
remedio casero para relajarse y dormir,Concordancia de frase (variante cercana),Ninguna,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
no se duerme,Concordancia de frase (variante cercana),Ninguna,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
me duele la espalda,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,17,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
qué es bueno para la inflamación muscular,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
ejercicio para el dolor de espalda baja,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
que hacer si te duele el brazo izquierdo,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
medicamento para el dolor de espalda baja,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
como tratar el dolor lumbar,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
como curar la lumbalgia ciatica,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,1,4,25.00%,PEN,0.45,0.45,Búsqueda,0.00%,0.00,0.00
antiinflamatorio para dolor de espalda,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
qué es bueno para el dolor de cuerpo,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,5,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
como quitar el dolor lumbar en 2 minutos,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
metodo yuen dolor lumbar,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,1,2,50.00%,PEN,0.16,0.16,Búsqueda,0.00%,0.00,0.00
dolor de columna alta,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
terapia para el dolor de cintura,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
